fold,test_start,test_end,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,win_rate,total_trades,buy_hold_return,excess_return
1,2021-12-28,2022-02-10,-0.38648589699999897,0.21089730814900856,2.138924564619392,0.09859969427511643,-0.44441603184643824,0.5294117647058824,35,0.02712264150943393,-0.4136085385094329
2,2022-01-11,2022-02-24,-0.035364992999997756,2.4482981816872864,2.4067699709018395,1.017254748599795,-0.4437534159102142,0.4375,32,-0.2347266881028938,0.19936169510289603
3,2022-01-27,2022-03-14,-0.5629282694999993,-2.0572059216709033,1.5988494078005386,-1.2866789777912255,-0.5908271433853675,0.2,30,-0.01699029126213599,-0.5459379782378633
4,2022-02-10,2022-03-29,1.6619868862500016,3.961319593579098,2.4044918451237205,1.647466428972344,-0.49632657230553273,0.375,17,0.6282828282828282,1.0337040579671735
5,2022-02-25,2022-04-13,-0.6070400482499995,-2.4496392024769693,1.5445532680020773,-1.5859855747452762,-0.6093743114724562,0.2,20,-0.39480519480519477,-0.2122348534448047
6,2022-03-14,2022-04-29,0.764811824750002,5.8605674210622185,3.7806722374075905,1.5501389840344408,-0.4973146896057416,0.16666666666666666,25,0.9414519906323185,-0.17664016588231657
7,2022-03-30,2022-05-17,-0.5067777464999994,3.5496381236844576,3.7849883477302617,0.9378200928446884,-0.5067777464999994,0.14285714285714285,14,0.03950617283950621,-0.5462839193395056
8,2022-04-13,2022-05-31,-0.4203447044999998,5.8889807337435105,4.242680454171254,1.3880330600796653,-0.6552276431828805,0.5,12,-0.5310734463276836,0.11072874182768383
9,2022-05-02,2022-06-15,-0.4034231939999999,2.533178269830194,3.2332902685396565,0.7834676318666328,-0.6568924101513547,0.14285714285714285,14,0.700956937799043,-1.104380131799043
10,2022-05-17,2022-06-29,0.4062926130000011,8.715210926123078,3.502959482362563,2.4879565321849295,-0.46104756105913913,0.3333333333333333,25,-0.41797432239657634,0.8242669353965775
11,2022-06-01,2022-07-14,0.6078303887500007,6.305417559566137,3.2009801797246875,1.969839613348827,-0.6628823343337474,0.3333333333333333,19,-0.08037825059101653,0.6882086393410173
12,2022-06-15,2022-07-28,-0.08140003049999933,1.7565086082441295,2.141992806855022,0.8200347837876827,-0.6529115844092357,0.5,20,0.06469002695417786,-0.1460900574541772
13,2022-06-30,2022-08-16,3.5659385707500024,8.185206630177543,2.3482914731389886,3.485600796921637,-0.0419834139999999,0.4,30,0.7791563275434246,2.786782243206578
14,2022-07-14,2022-08-30,0.9222794107500013,2.507104375332136,2.1779863781596998,1.1511111366318674,-0.4260573087886264,0.3333333333333333,25,0.1929824561403507,0.7292969546096506
15,2022-07-29,2022-09-15,-0.1515018809999981,1.9837773174109934,2.5146020221008603,0.7889030947941489,-0.5294390077499989,0.35714285714285715,29,0.07518796992481203,-0.22668985092481012
16,2022-08-16,2022-09-29,-0.5578427759999995,-1.0005131930410434,2.1573830617818546,-0.463762421595489,-0.5927338878970563,0.2,10,-0.007462686567164285,-0.5503800894328352
17,2022-09-01,2022-10-17,-0.5928505432499998,-1.1518829749647979,2.2424171402191395,-0.5136791698141544,-0.7616632143600055,0.16666666666666666,12,-0.5422705314009661,-0.0505800118490336
18,2022-09-15,2022-11-01,0.9787773582500011,3.7042261282195876,2.7570403602396842,1.3435516511254697,-0.4159112069999999,0.25,25,-0.15165876777251197,1.130436126022513
19,2022-09-30,2022-11-17,0.7784280705000006,6.151364576842947,3.0426978398398457,2.0216810543260277,-0.4386491797282229,0.35714285714285715,29,-0.49186991869918695,1.2702979891991877
20,2022-10-17,2022-12-01,0.7765889137500025,7.823033717673428,2.9523578107892248,2.6497579965018443,-0.43245629548328407,0.375,33,-0.4730290456431535,1.249617959393156
21,2022-11-02,2022-12-16,0.5762900062500017,6.884422371813822,3.4144797046188344,2.0162434594357457,-0.6668848499387825,0.3333333333333333,43,0.01574803149606303,0.5605419747539386
22,2022-11-17,2022-12-30,2.124623566500002,8.914476153579113,3.844146034107141,2.3189743767498756,-0.6726404978722035,0.46153846153846156,27,0.03543913713405234,2.08918442936595
23,2022-12-02,2023-01-16,0.7283421585000036,8.41210144432146,3.795310660589807,2.2164460821803145,-0.6875101239020812,0.3333333333333333,49,-0.010554089709762496,0.7388962482097661
24,2022-12-16,2023-01-31,2.3459087280000057,9.283905025889714,3.2902259941767054,2.821661807523581,-0.4063047627220569,0.36363636363636365,44,-0.49297752808988765,2.8388862560898933
25,2023-01-02,2023-02-15,2.0067203152500053,6.879314651248701,2.51186022675172,2.7387330624462622,-0.3678058473116369,0.2692307692307692,52,0.5452127659574468,1.4615075492925584
26,2023-01-16,2023-03-01,1.369335506250005,4.527477960088358,1.6440612420918994,2.753837779380777,-0.087017850697566,0.24,50,-0.2041116005873714,1.5734471068373763
27,2023-02-01,2023-03-17,1.4646328687500039,4.754568218257576,1.704235975141837,2.789853217282232,-0.08260118826931294,0.2916666666666667,49,0.008403361344537735,1.456229507405466
28,2023-02-15,2023-04-03,1.7119076707500027,5.11054187828384,1.6621671284313388,3.0746257646828123,-0.05268191086084385,0.34782608695652173,46,1.025936599423631,0.6859710713263718
29,2023-03-02,2023-04-21,2.1535658737500025,6.094136918236884,2.0016123692601706,3.044613938156956,-0.04764756123681676,0.38095238095238093,42,1.3258785942492013,0.8276872795008012
30,2023-03-17,2023-05-08,0.01333078725000135,1.718954363068619,1.9871455422904252,0.8650369721219899,-0.47664660182862784,0.22727272727272727,44,0.24961948249619467,-0.23628869524619334
31,2023-04-05,2023-05-23,-0.11716777574999725,4.1549306901745995,3.420378773858474,1.2147574771338816,-0.6319484467336288,0.22727272727272727,44,1.10989010989011,-1.227057885640107
32,2023-04-21,2023-06-06,-0.631923394999998,2.400582059469278,3.2104892893817634,0.7477309042608744,-0.7861024041847742,0.2916666666666667,49,0.11111111111111116,-0.7430345061111091
33,2023-05-09,2023-06-21,-0.6112241487499989,1.57501886049136,3.3989153663011495,0.4633886668985716,-0.7752137351289639,0.3333333333333333,43,0.06157635467980296,-0.6728005034298018
34,2023-05-23,2023-07-06,-0.38893115399999645,3.925426756343278,3.6772294957849434,1.0674957222122887,-0.6776006211856535,0.2857142857142857,56,0.0796915167095116,-0.468622670709508
35,2023-06-07,2023-07-21,0.8201556000000008,10.503940145062368,4.393873569851389,2.390587707651687,-0.46907459198237617,0.36363636363636365,23,1.017114914425428,-0.19695931442542713
36,2023-06-21,2023-08-04,0.24494610050000262,12.776010309770458,4.887498273665261,2.614018377993083,-0.46665757726310003,0.3333333333333333,31,-0.32478632478632485,0.5697324252863275
37,2023-07-07,2023-08-22,-0.025189979999997263,7.540912305313089,4.316087688294134,1.7471638321355598,-0.5559583784141415,0.35294117647058826,34,0.7002398081534772,-0.7254297881534745
38,2023-07-21,2023-09-05,-0.490283973749998,-0.785304050199352,1.9782155735416047,-0.39697597203393764,-0.6382928857561226,0.21739130434782608,46,2.272058823529412,-2.76234279727941
39,2023-08-07,2023-09-21,-0.10245134799999818,1.61150299387892,2.087408265663554,0.7720114078242613,-0.6066034501016817,0.4444444444444444,37,-0.3514644351464435,0.24901308714644532
40,2023-08-22,2023-10-06,-0.16037263174999736,5.575494313542914,3.10432491738831,1.7960408339709544,-0.6895584189171128,0.4090909090909091,45,-0.431239388794567,0.27086675704456964
41,2023-09-06,2023-10-23,1.2611322915000016,8.43128200654701,3.5949810423166557,2.3452924806284305,-0.4832748766399422,0.391304347826087,47,0.7240356083086052,0.5370966831913964
42,2023-09-21,2023-11-07,4.110221230500005,8.40653621301518,3.27166556757436,2.569497413284774,-0.43916036038764367,0.34782608695652173,47,-0.04632587859424918,4.156547109094254
43,2023-10-09,2023-11-22,4.992506354250009,12.43310321505367,3.6380653515649826,3.417504089008554,-0.45909189230964437,0.43478260869565216,46,1.1153262518968132,3.877180102353196
44,2023-10-23,2023-12-07,0.33987271650000506,4.820011095116748,2.964778375594098,1.6257576400296325,-0.4323077476967774,0.32,50,0.10879999999999995,0.2310727165000051
45,2023-11-08,2023-12-22,0.2569681680000045,3.690316682776695,2.689053611395292,1.3723477535510602,-0.4689570286498491,0.2,50,0.08025682182985554,0.17671134617014894
46,2023-11-22,2024-01-08,-0.11631928274999907,0.6112020008767313,1.5736594945208295,0.38839533139463495,-0.4096154676036929,0.20833333333333334,48,0.6611796982167351,-0.7774989809667341
47,2023-12-08,2024-01-23,2.133256395000004,8.244655149290487,2.9603105027828045,2.785064317253274,-0.4221562133796801,0.5,33,0.030837004405286472,2.1024193905947177
48,2023-12-22,2024-02-07,-0.3323694007499995,-0.4013769248132953,1.5666710420797927,-0.2561973216026627,-0.34561265849999956,0.38095238095238093,42,0.055773762765121825,-0.3881431635151213
49,2024-01-09,2024-02-22,0.3918891355000011,2.5444252498892195,1.6552532670041697,1.5371818322970934,-0.4080231151883087,0.4090909090909091,45,0.7696969696969697,-0.37780783419696856
50,2024-01-23,2024-03-06,0.32266393425000134,2.4079332528083937,1.6967852109351327,1.4191149458930827,-0.3515138349803918,0.36,50,-0.4790812141099262,0.8017451483599276
51,2024-02-08,2024-03-22,0.990589794750004,5.755391607189014,2.701106227578687,2.130753521807336,-0.4088114663060981,0.3076923076923077,52,-0.524904214559387,1.515494009309391
52,2024-02-22,2024-04-09,1.4905088100000046,6.6909249668078825,2.7710862059963235,2.414549555452105,-0.35893168385819474,0.2,40,-0.008836524300441951,1.4993453343004466
53,2024-03-07,2024-04-26,0.1271503432500026,2.4677682685548703,2.2407488001318083,1.1013141091092888,-0.3988945286790497,0.12,51,-0.3744207599629287,0.5015711032129313
54,2024-03-22,2024-05-13,-0.17674790599999823,-0.2378401232334141,2.4083537721552597,-0.09875630647924645,-0.5371344982499981,0.15384615384615385,53,0.33170254403131105,-0.5084504500313093
55,2024-04-10,2024-05-28,0.29839091775000154,5.72433277985124,3.343675832859848,1.7119879635446642,-0.48052167766394005,0.3157894736842105,38,0.8032544378698228,-0.5048635201198213
56,2024-04-26,2024-06-11,1.3784539732500023,8.522935196828605,3.577620823451025,2.382291365524661,-0.4534748937548404,0.4166666666666667,48,0.2841483979763914,1.0943055752736108
57,2024-05-14,2024-06-27,2.5154272537500044,10.676907713435943,3.7127547409626542,2.875737412880551,-0.4305258721210245,0.391304347826087,46,1.1541125541125543,1.36131469963745
58,2024-05-28,2024-07-11,3.1678434564000124,9.72298525101742,3.9496158675917528,2.461754655889089,-0.6217261817843093,0.32,51,1.388940092165899,1.7789033642341134
59,2024-06-12,2024-07-29,1.5808537754000058,8.413407547603683,3.314471271907352,2.5383860222031998,-0.44329163948284983,0.3684210526315789,39,0.06471921430370184,1.516134561096304
60,2024-06-27,2024-08-12,0.4264942425000027,2.7376586777663814,1.7681772052894018,1.5482942940203226,-0.35428862564999974,0.3,40,0.678695868591339,-0.25220162609133634
61,2024-07-12,2024-08-28,1.327964019800004,4.635002084529964,1.8106168266910305,2.5599022477884525,-0.08571179726613984,0.21739130434782608,47,-0.4687833511205976,1.7967473709206017
62,2024-07-29,2024-09-11,0.1302726104000024,3.1500156337981564,2.049028585060389,1.5373214687023604,-0.4129716205337083,0.13043478260869565,47,-0.4761840141131768,0.6064566245131792
63,2024-08-13,2024-09-26,-0.47313057459999686,-0.2599723265190957,2.221193014266217,-0.11704175407060648,-0.7916951064895684,0.1,41,-0.013005371783997762,-0.4601252028159991
64,2024-08-28,2024-10-11,-0.08236107314999813,1.929608730912269,2.231220935075617,0.8648219011296046,-0.6216443551895905,0.2631578947368421,38,-0.11802277145237425,0.035661698302376116
65,2024-09-12,2024-10-28,-0.6351268034999987,2.2684155919606437,3.7120965262167696,0.6110874477373918,-0.6346870001499988,0.3333333333333333,42,-0.576094811388929,-0.05903199211106969
66,2024-09-26,2024-11-11,-0.6412270064999988,3.682331758467705,4.188684025509427,0.8791142363668409,-0.6469552359510411,0.3684210526315789,38,0.02839694656488549,-0.6696239530648842
67,2024-10-14,2024-11-28,0.5445668430500027,8.358573263692243,3.9605846701971976,2.1104392304977715,-0.5035073748361995,0.22727272727272727,45,1.0646939367566,-0.5201270937065973
68,2024-10-28,2024-12-12,2.1639693580500063,14.749275720148024,4.418681140632422,3.3379361965088616,-0.5018482997700114,0.3333333333333333,49,-0.3009174311926605,2.4648867892426667
69,2024-11-12,2024-12-30,0.6587233488500038,7.876495913719611,3.6967508480332456,2.1306537111934616,-0.6876006955650458,0.2692307692307692,53,0.005190567996440669,0.6535327808535631
70,2024-11-28,2025-01-13,-0.09827143609999467,6.781676215208471,3.374453639672161,2.009710886372507,-0.6832715007491034,0.32,51,0.01692399049881236,-0.11519542659880702
71,2024-12-13,2025-01-28,-0.4172210755999995,-1.0479565022950699,1.4503696953871428,-0.7225444006642334,-0.44012409947680325,0.14285714285714285,15,-0.10144553433144037,-0.3157755412685591
72,2024-12-30,2025-02-10,-0.41241123884999814,1.0211067413628996,2.595797278720651,0.3933692163612083,-0.4529089911628691,0.35,40,-0.06964091403699661,-0.3427703248130015
73,2025-01-14,2025-02-25,-0.17758401034999793,4.023663748664932,3.288416445150949,1.2235870412940453,-0.6872064603648914,0.2727272727272727,45,0.6932011331444762,-0.8707851434944741
74,2025-01-28,2025-03-12,-0.32427194159999817,1.8826974307981392,2.837802205047773,0.6634350440102097,-0.4931234144636785,0.2857142857142857,42,-0.18226672471339422,-0.14200521688660395
75,2025-02-11,2025-03-28,-0.5844517213499987,0.7890925325739034,3.110334166418549,0.25370024259564317,-0.7027377457404029,0.3181818181818182,44,-0.582002457002457,-0.0024492643475416687
76,2025-02-25,2025-04-16,-0.476091618049999,3.3657873743326165,3.1614641286848153,1.0646293101332138,-0.6671911749213298,0.47619047619047616,43,-0.02427821522309718,-0.4518134028269018
77,2025-03-13,2025-05-05,0.2504678038500019,6.33661628312271,3.549901834862041,1.7850116926878257,-0.6022304446617049,0.44,50,-0.4817531305903399,0.7322209344403419
78,2025-03-28,2025-05-19,0.12617344365000221,5.309543724864874,3.3214187092285323,1.5985770508585242,-0.5150152804146045,0.34615384615384615,52,0.014459930313588821,0.1117135133364134
79,2025-04-17,2025-06-03,-0.24951788159999722,3.711129284396648,3.364562406965017,1.103005037657854,-0.7274165658840399,0.16,50,0.08017334777898154,-0.32969122937897877
80,2025-05-05,2025-06-17,0.3459691139500012,1.2452355141563674,2.289866457835515,0.543802678927146,-0.6451479955975772,0.22727272727272727,45,0.19236641221374043,0.15360270173626075
